9/2/18 10:37 PM
Project Statistics

                 	Segments	 Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	   83781	236094	                    2186903	                      2187662	  1382	
Remaining:       	   71463	203011	                    1882933	                      1883472	  1102	
Unique:          	   82356	234535	                    2178933	                      2179689	  1382	
Unique Remaining:	   70714	202173	                    1878287	                      1878823	  1102	


Individual File Statistics:

File Name	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
0301.txt 	            37	                 0	             37	                        0	        102	              0	         102	                     0	                             1028	                                    0	                              1028	                                           0	                               1029	                                      0	                                1029	                                             0	
0302.txt 	            46	                 0	             44	                        0	        109	              0	         107	                     0	                             1048	                                    0	                              1038	                                           0	                               1049	                                      0	                                1039	                                             0	
0303.txt 	            40	                 0	             37	                        0	        102	              0	          99	                     0	                             1021	                                    0	                              1006	                                           0	                               1021	                                      0	                                1006	                                             0	
0304.txt 	            45	                 0	             44	                        0	        107	              0	         106	                     0	                             1027	                                    0	                              1022	                                           0	                               1028	                                      0	                                1023	                                             0	
0305.txt 	            61	                 1	             61	                        1	        122	              0	         122	                     0	                             1125	                                    9	                              1125	                                           9	                               1126	                                      9	                                1126	                                             9	
0306.txt 	            38	                 0	             38	                        0	         98	              0	          98	                     0	                             1025	                                    0	                              1025	                                           0	                               1026	                                      0	                                1026	                                             0	
0307.txt 	            46	                 0	             45	                        0	        112	              0	         111	                     0	                             1021	                                    0	                              1016	                                           0	                               1022	                                      0	                                1017	                                             0	
0308.txt 	            47	                 0	             47	                        0	        115	              0	         115	                     0	                             1015	                                    0	                              1015	                                           0	                               1016	                                      0	                                1016	                                             0	
0309.txt 	            43	                 0	             43	                        0	        101	              0	         101	                     0	                             1033	                                    0	                              1033	                                           0	                               1033	                                      0	                                1033	                                             0	
0310.txt 	            35	                 0	             35	                        0	        101	              0	         101	                     0	                             1025	                                    0	                              1025	                                           0	                               1025	                                      0	                                1025	                                             0	
0311.txt 	            52	                 0	             52	                        0	        107	              0	         107	                     0	                             1014	                                    0	                              1014	                                           0	                               1015	                                      0	                                1015	                                             0	
